[0/2] Re-checking globbed directories...
ninja: no work to do.
[SpineLeaf] spine=4  leaf=8  hostsPerLeaf=4  routing=ecmp  elephants=40  mice=40
[SpineLeaf] FlowMonitor saved to results/spine-leaf-ecmp-flowmon.xml
FlowID  Proto  Src->Dst                     TxPkts  RxPkts  ThroughputMbps  AvgDelayMs
    71  TCP  10.0.37.2:5022->10.0.53.2:49153   54053   54053           11.86         0.00
    72  TCP  10.0.34.2:49154->10.0.50.2:5003   98170   98167          127.81         4.00
    73  TCP  10.0.50.2:5003->10.0.34.2:49154   49532   49532            5.72         0.00
    74  TCP  10.0.48.2:49153->10.0.32.2:5017  108217  108217          275.61         3.00
    75  TCP  10.0.32.2:5017->10.0.48.2:49153   54110   54110           13.36         0.00
    76  UDP  10.0.44.2:49153->10.0.42.2:6016    8084    8084            6.20         0.00
    77  TCP  10.0.61.2:49153->10.0.45.2:5030  108104  108104          281.88         3.00
    78  TCP  10.0.45.2:5030->10.0.61.2:49153   54053   54053           13.65         0.00
    79  TCP  10.0.52.2:49153->10.0.36.2:5021  108104  108104          247.82         3.00
    80  TCP  10.0.36.2:5021->10.0.52.2:49153   54053   54053           12.00         0.00
    81  UDP  10.0.53.2:49153->10.0.47.2:6031    6483    6482            4.99         0.00
    82  TCP  10.0.38.2:49153->10.0.54.2:5039   99206   99203          127.41         5.00
    83  TCP  10.0.54.2:5039->10.0.38.2:49153   50162   50162            5.76         0.00
    84  TCP  10.0.41.2:49153->10.0.57.2:5010  108104  108104          283.56         3.00
    85  TCP  10.0.57.2:5010->10.0.41.2:49153   54053   54053           13.73         0.00
    86  TCP  10.0.49.2:49153->10.0.33.2:5018  108099  108099          285.19         3.00
    87  TCP  10.0.33.2:5018->10.0.49.2:49153   54051   54051           13.81         0.00
    88  UDP  10.0.51.2:49153->10.0.53.2:6017    8251    8251            6.41         0.00
    89  UDP  10.0.48.2:49153->10.0.62.2:6012    6798    6798            5.41         0.00
    90  UDP  10.0.43.2:49153->10.0.45.2:6025    7135    7135            5.56         0.00
    91  TCP  10.0.39.2:49154->10.0.55.2:5040   99290   99287          128.99         5.00
    92  TCP  10.0.55.2:5040->10.0.39.2:49154   50208   50208            5.84         0.00
    93  TCP  10.0.38.2:49154->10.0.54.2:5007   99198   99195          129.07         5.00
    94  TCP  10.0.54.2:5007->10.0.38.2:49154   50155   50155            5.84         0.00
    95  TCP  10.0.56.2:49153->10.0.40.2:5025  108104  108104          285.15         3.00
    96  TCP  10.0.40.2:5025->10.0.56.2:49153   54053   54053           13.81         0.00
    97  UDP  10.0.34.2:49153->10.0.40.2:6010    5680    5679            4.46         0.00
    98  UDP  10.0.32.2:49153->10.0.46.2:6028    6613    6613            5.27         0.00
    99  UDP  10.0.38.2:49153->10.0.60.2:6038    4972    4972            4.17         0.00
   100  UDP  10.0.63.2:49153->10.0.49.2:6037    7064    7064            6.13         0.00
   101  UDP  10.0.38.2:49154->10.0.60.2:6006    5960    5960            4.87         0.00
   102  UDP  10.0.37.2:49153->10.0.63.2:6015    6866    6866            5.64         0.00
   103  UDP  10.0.39.2:49153->10.0.57.2:6029    7260    7260            5.97         0.00
   104  UDP  10.0.42.2:49153->10.0.48.2:6002    6451    6451            5.43         0.00
   105  UDP  10.0.42.2:49154->10.0.48.2:6034    6073    6073            5.16         0.00
   106  UDP  10.0.46.2:49153->10.0.36.2:6030    6033    6033            4.95         0.00
   107  UDP  10.0.56.2:49153->10.0.38.2:6036    7093    7093            5.94         0.00
   108  UDP  10.0.55.2:49153->10.0.41.2:6013    7799    7799            6.42         0.00
   109  UDP  10.0.59.2:49153->10.0.61.2:6009    7337    7337            6.08         0.00
   110  UDP  10.0.35.2:49154->10.0.37.2:6033    5008    5008            4.18         0.00
   111  UDP  10.0.40.2:49153->10.0.54.2:6020    7740    7740            6.50         0.00
   112  UDP  10.0.49.2:49154->10.0.59.2:6035    5825    5825            4.94         0.00
   113  UDP  10.0.52.2:49153->10.0.50.2:6008    6043    6043            5.09         0.00
   114  UDP  10.0.45.2:49154->10.0.39.2:6039    6468    6468            5.45         0.00
   115  UDP  10.0.56.2:49154->10.0.38.2:6004    6334    6334            5.38         0.00
   116  UDP  10.0.58.2:49153->10.0.32.2:6018    6458    6458            5.54         0.00
   117  UDP  10.0.52.2:49154->10.0.50.2:6040    4577    4577            4.05         0.00
   118  UDP  10.0.63.2:49154->10.0.49.2:6005    7144    7144            6.21         0.00
   119  UDP  10.0.35.2:49153->10.0.37.2:6001    6204    6204            5.52         0.00
   120  UDP  10.0.47.2:49153->10.0.33.2:6021    5142    5142            4.52         0.00
--------------------------------------------------------------------------------
Total flows: 120  TxPkts: 6563783  RxPkts: 6563708  AvgDelay: 1.18 ms
